lemma,sentence,sense,start,end
পথ,ভাষা আন্দোলনের ১৯ বছর পর নিবার্চনে হেরে গিয়ে পাকিস্থান যখন দেখল গনতান্ত্রিক পথে তাদের আর কোন পথ নাই এদেশকে শাসন করার তখন কাপুরুষের মতো রাতের অন্ধকারে রাস্তায় রাস্তায় কুকুরের মতো মিলিটারি লেলিয়ে দেয়া হলো ।,0,77,79
পথ,"' একটি স্বার্থান্বেষী মহল ও স্বাধীনতাবিরোধী চক্রের শিকার ' হয়ে খালেদা জিয়া ভুল পথে পরিচালিত হচ্ছেন মন্তব্য করে তিনি বলেন , "" তারা চেয়ারপারসনকে ভুল পরামর্শ ও তথ্য দিয়ে অন্ধকারে রাখতে চান ।",0,81,83
পথ,"কোনো চোরাগোপ্তা পথে নয় , রাতের অন্ধকারে ষড়যন্ত্র করে নয় , ১৯৭৫ সালের ৭ নভেম্বর নতুন ভোরের আলোয় সর্বস্তরের লক্ষকোটি মানুষ এবং দেশপ্রেমিক সৈনিদকদের মুহুর্মুহু স্লোগান আর পুষ্পবর্ষণের মধ্য দিয়ে রাজনীতিতে জিয়াউর রহমানের অভিষেক হয়েছিল ।",0,16,18
পথ,"কালের যাত্রায় বাংলাদেশ এখন ফেরত যাত্রার প্রেক্ষাপটে রয়েছে উল্লেখ করে ইনু বলেন , ' পঁচাত্তরের পর যে অন্ধকারে দেশ ডুবে গিয়েছিল , সেই সাম্প্রদায়িক - সামরিক - বিচারহীনতার শাসনের গহ্ববর থেকে শেখ হাসিনার নেতৃত্বে বাংলাদেশকে টেনে তোলার ফেরত যাত্রায় দেশ এখন মোকাবিলা করছে জঙ্গি সমস্যা , আনছে বৈষম্যহীন উন্নয়ন ও হাঁটছে সুশাসনের পথে ।",0,325,327
পথ,"শেখ হাসিনা বলেছেন , "" যারা শিশুদের ঘাড়ে বন্দুক রেখে উদ্দেশ্য হাসিল করতে চায় , তাদের নিয়ে খেলে বাংলাদেশের জনগণের ভবিষ্যতকে অন্ধকারে ঠেলে দিতে চায় , আলোর পথে যাত্রায় বাধা দিতে চায় ; যে যত বড়ই হোক , সে যদি কোনো অন্যায় করে ; তার কি বিচার হবে না বাংলাদেশের মাটিতে ?",0,156,158
পথ,"আমরা বিশ্বাস করি , যাদু মিয়ার দেখানো যে পথ , সেই পথে আমরা যদি সত্যিকার অর্থে এগুতে পারি , আমরা যদি মওলানা ভাসানীর আদর্শ আদর্শ নিয়ে যদি এগুতে পারি , স্বাধীনতার ঘোষক শহীদ প্রেসিডেন্ট জিয়াউর রহমানের আদর্শ নিয়ে এগুতে পারি , আর দেশনেত্রী বেগম খালেদা জিয়ার যে ত্যাগ , সেই ত্যাগকে নিযে এগুতে পারি অবশ্যই আমরা সফল হবো ।",0,41,43
পথ,"তার চেয়ে বেশি অসহনীয় কষ্ট ও যন্ত্রণার কারণ সরকার সৃষ্ট রাজনৈতিক সঙ্কট , যা থেকে উত্তরণের পথে চলতে না গিয়ে আমরা সামগ্রিক অর্থে দেউলিয়া হওয়ার পথে ।",0,91,93
পথ,"এক অর্থে বলা যায়, শীত বিদায় নেওয়ার পথে।",0,35,37
পথ,সে অর্থে একটা সম্পর্ক ভেঙে যাওয়ার অর্থ দাঁড়ায় নতুন আরেকটি সম্পর্ক গড়ার পথে এগিয়ে যাওয়া।,0,71,73
পথ,"যুদ্ধাপরাধী সাকা চৌধুরীর আত্মীয় নওশাবা , কিংবা সবুর খানের নাতি বা বাংলাদেশ বিরোধীরা নিরাপদ সড়কের দাবিতে শিশুদের এই অভূতপূর্ব আন্দোলনের সুযোগে নিজের স্বার্থ হাসিলে এমন অপতৎপরতায় কেউ কেউ গোষ্ঠী ধরে পথে আকাশে সক্রিয় হওয়ায় অবাক হওয়ার কিছু আছে কি ?",0,199,201
